"Company","Parent Company","Location","City","County","Address","Zip","Project Description","NAICS Industry Code","Year","Subsidy Value","Megadeal Contribution","Subsidy Value Adjusted For Megadeal","Program Name","Awarding Agency","Type of Subsidy","Number of Jobs or Training Slots","Wage Data","Wage Data Type","Investment Data","Source of Data","Notes","Subsidy Source","CFDA Program Number","Loan Value","State in Which Facility Is Located","HQ State of Parent","HQ Country of Parent","Ownership Structure","Major Industry of Parent","Specific Industry of Parent"
"STABILUX BIOSCIENCES, INC","","United States","","","","","STTR PHASE II: HIGH BRIGHTNESS FLUOROPHORES FOR BIOSCIENCE APPLICATIONS","","2018","$719,999","$0","$719,999","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Michigan", "","","","",""
"IMPEDX DIAGNOSTICS INC.","","United States","","","","","SBIR PHASE II: UNIVERSAL ELECTRONIC PLATFORM AND SYSTEM FOR RAPID (DIRECT FROM SAMPLE) PHENOTYPIC ANTIBIOTIC SUSCEPTIBILITY TESTING (AST)","","2018","$720,181","$0","$720,181","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Kansas", "","","","",""
"SARATOGA ENERGY RESEARCH PARTNERS, LLC","","United States","","","","","SBIR PHASE II: ELECTROLYTIC GENERATION OF LOW-COST, HIGH-DENSITY CARBON NANOTUBES FOR HIGH-PERFORMANCE LITHIUM-ION BATTERIES","","2018","$722,669","$0","$722,669","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","California", "","","","",""
"BAKMAN TECHNOLOGIES LLC","","United States","","","","","SBIR PHASE II: A SPECTROSCOPIC THZ SENSOR FOR MIXED GAS ANALYSIS AND AIR POLLUTION MONITORING","","2018","$724,044","$0","$724,044","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","California", "","","","",""
"CYCLOPURE, INC.","","United States","","","","","SBIR PHASE II: HIGH-AFFINITY CYCLODEXTRIN POLYMERS FOR POINT-OF-USE FILTRATION PRODUCTS","","2018","$725,665","$0","$725,665","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Illinois", "","","","",""
"ENTO BIO LLC","","United States","","","","","STTR PHASE II: TERMITE-DERIVED ENZYMATIC TREE BIO-HERBICIDES","","2018","$727,999","$0","$727,999","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Ohio", "","","","",""
"VIA SEPARATIONS, LLC","","United States","","","","","SBIR PHASE II: ROBUST NANOFILTRATION TO ENABLE CHALLENGING CHEMICAL AND PHARMACEUTICAL SEPARATIONS","","2018","$728,413","$0","$728,413","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"FLORA COATINGS LLC","","United States","","","","","SBIR PHASE II: TRANSPARENT FLEXIBLE QUASI-CERAMIC INTELLIGENT MULTIFUNCTIONAL COATINGS FOR CORROSION AND BIOFOULING PROTECTION","","2018","$728,535","$0","$728,535","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Arizona", "","","","",""
"ATOPTIX, INC.","","United States","","","","","SBIR PHASE II: FIELD-DEPLOYABLE, HAND-HELD SPECTROPHOTOMETER SENSOR PLATFORM FOR CITRUS GROWERS TO RAPIDLY SCREEN FOR HLB DISEASE","","2018","$729,737","$0","$729,737","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Pennsylvania", "","","","",""
"HIVE BATTERY INC","","United States","","","","","SBIR PHASE II: FAST FORMATION CYCLING METHODS AND IN-SITU DIAGNOSTICS FOR LITHIUM-ION BATTERY MANUFACTURING","","2018","$730,767","$0","$730,767","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Washington", "","","","",""
"FACT LABS, INC.","","United States","","","","","SBIR PHASE II: SCALABLE COLLABORATIVE ANALYTICAL MODELING","","2018","$730,919","$0","$730,919","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","California", "","","","",""
"TG COMPANIES, LLC","","United States","","","","","SBIR PHASE II: PROFITABLE RECYCLING OF SILICON SOLAR CELLS AND MODULES","","2018","$732,880","$0","$732,880","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Arizona", "","","","",""
"DIMENSIONAL ENERGY INC.","","United States","","","","","STTR PHASE II: HI-LIGHT - SOLAR THERMAL CHEMICAL REACTOR TECHNOLOGY FOR CONVERTING CO2 TO HYDROCARBONS","","2018","$734,607","$0","$734,607","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","New York", "","","","",""
"BIOINFOEXPERTS LLC","","United States","","","","","SBIR PHASE II: AN INTERACTIVE GRAPHICAL APPLICATION FOR NEXT-GENERATION SURVEILLANCE OF HOSPITAL-ACQUIRED INFECTIONS USING WHOLE GENOME SEQUENCING AND ADVANCED ANALYTICS","","2018","$735,056","$0","$735,056","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Louisiana", "","","","",""
"DYNALENE INC.","","United States","","","","","STTR PHASE II: CORROSION INHIBITION OF STAINLESS STEEL ALLOYS IN HIGH TEMPERATURE CHLORIDE SALTS FOR CONCENTRATED SOLAR POWER APPLICATIONS","","2018","$737,213","$0","$737,213","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Pennsylvania", "","","","",""
"PARAMETRIC STUDIO, INC.","","United States","","","","","SBIR PHASE II: ENGINEERING DESIGN INSTRUCTION SOFTWARE FOR IMPLEMENTING OBJECTIVES OF NEXT (EDISON) GENERATION STANDARDS IN K-12","","2018","$737,901","$0","$737,901","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Iowa", "","","","",""
"TETON COMPOSITES","","United States","","","","","SBIR PHASE II: SIMULATION FOR STRUCTURAL INTEGRITY OF AS MANUFACTURED 3D PRINTED PARTS","","2018","$739,183","$0","$739,183","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Wyoming", "","","","",""
"LUNEWAVE INC.","","United States","","","","","SBIR PHASE II: NOVEL RADAR USING 3D PRINTED LUNEBURG LENS FOR AUTONOMOUS TRANSPORTATION","","2018","$739,492","$0","$739,492","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Arizona", "","","","",""
"KLAR SCIENTIFIC LLC","","United States","","","","","SBIR PHASE II: SPECTROSCOPY AND IMAGING OF IRREGULAR SURFACES USING CONFOCAL MICROSCOPY","","2018","$739,626","$0","$739,626","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Washington", "","","","",""
"CODECRAFT WORKS, LLC","","United States","","","","","SBIR PHASE II: A CO-CREATION, CROSS-CURRICULAR, STANDARD ALIGNED COMPUTER SCIENCE, ENGINEERING, AND CYBERSECURITY EDUCATION TECHNOLOGY PLATFORM","","2018","$741,395","$0","$741,395","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Florida", "","","","",""
"PETRONICS INC.","","United States","","","","","SBIR PHASE II: AGGRESSIVE MANEUVERING OF SMALL AUTONOMOUS ROBOTS IN HOME ENVIRONMENTS","","2018","$742,203","$0","$742,203","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Illinois", "","","","",""
"EGROVE EDUCATION, INC.","","United States","","","","","SBIR PHASE II: MEANINGFUL SKETCHING AND MEANINGFUL STRUGGLE IN STEM EDUCATION","","2018","$742,718","$0","$742,718","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","California", "","","","",""
"X-THERMA INC.","","United States","","","","","SBIR PHASE II: DYNAMIC NANOPORES ENABLING NON-TOXIC CRYOPRESERVATION TO ADVANCE CENTRALIZED MANUFACTURING & TRANSPORT OF REGENERATIVE MEDICINES","","2018","$743,322","$0","$743,322","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","California", "","","","",""
"POWERFLEX SYSTEMS, LLC","","United States","","","","","SBIR PHASE II: ADAPTIVE CHARGING NETWORK FOR EV AND ENERGY SERVICES","","2018","$744,018","$0","$744,018","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","California", "","","","",""
"RURISOND, INC","","United States","","","","","SBIR PHASE II: LONG RANGE 2-WAY COMMUNICATIONS FOR THE REMOTE IOT","","2018","$745,388","$0","$745,388","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","California", "","","","",""
"EMISSOL LLC","","United States","","","","","SBIR PHASE II: NOVEL UREA MIXER TO ENABLE LOW TEMPERATURE REDUCTION OF DIESEL EXHAUST NITROGEN COMPOUNDS","","2018","$746,477","$0","$746,477","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Washington", "","","","",""
"AUTONOMOUS HEALTHCARE INC","","United States","","","","","SBIR PHASE II: A CLINICAL DECISION SUPPORT SYSTEM FOR FLUID RESUSCITATION OF INTENSIVE CARE UNIT PATIENTS","","2018","$746,668","$0","$746,668","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","New Jersey", "","","","",""
"OMICS DATA AUTOMATION, INC.","","United States","","","","","SBIR PHASE II: ROBUST MEDICAL DATA AGGREGATION TO ENABLE ADVANCED APPROACHES TO PRECISION MEDICINE","","2018","$747,352","$0","$747,352","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Oregon", "","","","",""
"NOVOL, INC.","","United States","","","","","SBIR PHASE II: BIO-BASED POLYMERS FOR OPTICAL APPLICATIONS","","2018","$747,626","$0","$747,626","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","California", "","","","",""
"ANDAMIO GAMES, LLC","","United States","","","","","SBIR PHASE II: COLLABORATIVE GAME APPROACH TO SUPPORT CLASSROOM INSTRUCTION OF DIFFICULT-TO-TEACH SCIENCE CONCEPTS","","2018","$747,705","$0","$747,705","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Minnesota", "","","","",""
"P C KRAUSE AND ASSOCIATES INC","","United States","","","","","SBIR PHASE II: PASSIVE RADIATIVE COMPOSITE MATERIAL","","2018","$747,765","$0","$747,765","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Indiana", "","","","",""
"APPLIED BIOSENSORS, LLC","","United States","","","","","SBIR PHASE II: IN-LINE SENSOR FOR MONITORING MONOCLONAL ANTIBODY PRODUCTION BASED ON HYDROGELS CONTAINING PEPTIDE APTAMERS","","2018","$747,773","$0","$747,773","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Utah", "","","","",""
"PARABRICKS LLC","","United States","","","","","SBIR PHASE II: WHOLE GENOME SEQUENCING - DATA TO INSIGHT IN ONE HOUR","","2018","$748,104","$0","$748,104","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Michigan", "","","","",""
"MEMBRION, INC.","","United States","","","","","SBIR PHASE II: ENGINEERED NANOPOROUS CERAMIC MEMBRANES THAT ENABLE HIGH-PERFORMANCE AND LOW-COST FLOW BATTERIES","","2018","$748,134","$0","$748,134","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Washington", "","","","",""
"MENTOR ON THE GO, LLC","","United States","","","","","SBIR PHASE II: MODERNIZING THE DIAGNOSIS, MONITORING, AND TREATING OF SUBSTANCE USE DISORDERS VIA AN INTEGRATED TECHNOLOGY PLATFORM","","2018","$748,220","$0","$748,220","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","California", "","","","",""
"CERILLO, LLC","","United States","","","","","SBIR PHASE II: DEVELOPMENT OF A MINIATURIZED MULTIWELL PLATE READER","","2018","$748,389","$0","$748,389","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Virginia", "","","","",""
"SOUTH 8 TECHNOLOGIES, INC.","","United States","","","","","SBIR PHASE II: LIQUEFIED GAS ELECTROLYTES FOR HIGH ENERGY DENSITY ENERGY STORAGE DEVICES","","2018","$748,424","$0","$748,424","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","California", "","","","",""
"GENOVERDE BIOSCIENCES, INCORPORATED","","United States","","","","","SBIR PHASE II: GENETIC IMPROVEMENT OF LOBLOLLY PINE FOR INCREASED WOOD DENSITY AND IMPROVED WOOD QUALITY","","2018","$748,716","$0","$748,716","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Massachusetts", "","","","",""
"ALCORIX CO.","","United States","","","","","SBIR PHASE II: X-RAY FOCUSING DEVICE FOR 20-100 KEV PHOTON ENERGIES","","2018","$748,975","$0","$748,975","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Illinois", "","","","",""
"REVIBRO OPTICS, L.L.C.","","United States","","","","","SBIR PHASE II: CLOSED-LOOP CONTROL OF MEMS DEFORMABLE MIRROR FOR TWO-PHOTON MICROSCOPY","","2018","$749,608","$0","$749,608","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Montana", "","","","",""
"HARVEST CROO, LLC","","United States","","","","","SBIR PHASE II: ORCHESTRATION OF MULTIPLE ROBOTIC SUBSYSTEMS INTO A COMMERCIALLY VIABLE ROBOTIC STRAWBERRY HARVESTING SYSTEM","","2018","$749,720","$0","$749,720","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Florida", "","","","",""
"EMBR LABS, INC","","United States","","","","","STTR PHASE II: CONNECTED LOW-POWER WEARABLE TECHNOLOGY THAT PROVIDES PERSONALIZED THERMAL COMFORT IN OFFICES","","2018","$749,995","$0","$749,995","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","California", "","","","",""
